x,y
23.962648, 2.437391
24.000149, 2.431276
24.037649, 2.423958
24.075150, 2.415417
24.112650, 2.405637
24.150150, 2.394596
24.187651, 2.382274
24.225151, 2.368652
24.262651, 2.353707
24.300152, 2.337419
24.337652, 2.319766
24.375153, 2.300725
24.412653, 2.280275
24.450153, 2.258394
24.487654, 2.235059
24.525154, 2.210250
24.562654, 2.183943
24.600155, 2.156117
24.637655, 2.126753
24.675156, 2.095830
24.712656, 2.063329
24.750156, 2.029231
24.787657, 1.993520
24.825157, 1.956182
24.862658, 1.917203
24.900158, 1.876570
24.937658, 1.834273
24.975159, 1.790307
25.012659, 1.744667
25.050159, 1.697351
25.087660, 1.648362
25.125160, 1.597706
25.162661, 1.545391
25.200161, 1.491432
25.237661, 1.435848
25.275162, 1.378661
25.312662, 1.319899
25.350163, 1.259597
25.387663, 1.197793
25.425163, 1.134533
25.462664, 1.069866
25.500164, 1.003850
25.537664, 0.936547
25.575165, 0.868025
25.612665, 0.798359
25.650166, 0.727629
25.687666, 0.655919
25.725166, 0.583321
25.762667, 0.509928
25.800167, 0.435841
25.837667, 0.361161
25.875168, 0.285995
25.912668, 0.210449
25.950169, 0.134634
25.987669, 0.058660
26.025169, -0.017363
26.062670, -0.093324
26.100170, -0.169116
26.137671, -0.244633
26.175171, -0.319770
26.212671, -0.394428
26.250172, -0.468510
26.287672, -0.541928
26.325172, -0.614593
26.362673, -0.686427
26.400173, -0.757354
26.437674, -0.827305
26.475174, -0.896220
26.512674, -0.964041
26.550175, -1.030720
26.587675, -1.096212
26.625175, -1.160482
26.662676, -1.223497
26.700176, -1.285233
26.737677, -1.345669
26.775177, -1.404791
26.812677, -1.462588
26.850178, -1.519056
26.887678, -1.574192
26.925179, -1.628000
26.962679, -1.680485
27.000179, -1.731655
27.037680, -1.781524
27.075180, -1.830105
27.112680, -1.877414
27.150181, -1.923469
27.187681, -1.968289
27.225182, -2.011894
27.262682, -2.054306
27.300182, -2.095548
27.337683, -2.135641
27.375183, -2.174608
27.412683, -2.212473
27.450184, -2.249258
27.487684, -2.284985
27.525185, -2.319677
27.562685, -2.353355
27.600185, -2.386040
27.637686, -2.417754
27.675186, -2.448514
27.712687, -2.478341
27.750187, -2.507252
27.787687, -2.535264
27.825188, -2.562393
27.862688, -2.588655
27.900188, -2.614063
27.937689, -2.638630
27.975189, -2.662368
28.012690, -2.685289
28.050190, -2.707402
28.087690, -2.728716
28.125191, -2.749239
28.162691, -2.768978
28.200191, -2.787938
28.237692, -2.806125
28.275192, -2.823541
28.312693, -2.840190
28.350193, -2.856075
28.387693, -2.871194
28.425194, -2.885550
28.462694, -2.899141
28.500195, -2.911964
28.537695, -2.924019
28.575195, -2.935300
28.612696, -2.945805
28.650196, -2.955528
28.687696, -2.964463
28.725197, -2.972604
28.762697, -2.979944
28.800198, -2.986474
28.837698, -2.992186
28.875198, -2.997072
28.912699, -3.001120
28.950199, -3.004321
28.987700, -3.006663
29.025200, -3.008135
29.062700, -3.008723
29.100201, -3.008416
29.137701, -3.007200
29.175201, -3.005060
29.212702, -3.001982
29.250202, -2.997951
29.287703, -2.992951
29.325203, -2.986966
29.362703, -2.979980
29.400204, -2.971973
29.437704, -2.962931
29.475204, -2.952833
29.512705, -2.941661
29.550205, -2.929396
29.587706, -2.916019
29.625206, -2.901509
29.662706, -2.885845
29.700207, -2.869008
29.737707, -2.850974
29.775208, -2.831723
29.812708, -2.811232
29.850208, -2.789479
29.887709, -2.766440
29.925209, -2.742094
29.962709, -2.716415
30.000210, -2.689382
30.037710, -2.660970
30.075211, -2.631156
30.112711, -2.599916
30.150211, -2.567226
30.187712, -2.533064
30.225212, -2.497407
30.262712, -2.460232
30.300213, -2.421518
30.337713, -2.381243
30.375214, -2.339390
30.412714, -2.295937
30.450214, -2.250870
30.487715, -2.204171
30.525215, -2.155830
30.562716, -2.105833
30.600216, -2.054173
30.637716, -2.000845
30.675217, -1.945847
30.712717, -1.889179
30.750217, -1.830849
30.787718, -1.770865
30.825218, -1.709244
30.862719, -1.646004
30.900219, -1.581172
30.937719, -1.514780
30.975220, -1.446866
31.012720, -1.377475
31.050220, -1.306657
31.087721, -1.234471
31.125221, -1.160983
31.162722, -1.086266
31.200222, -1.010401
31.237722, -0.933473
31.275223, -0.855579
31.312723, -0.776817
31.350224, -0.697296
31.387724, -0.617128
31.425224, -0.536430
31.462725, -0.455326
31.500225, -0.373941
31.537725, -0.292403
31.575226, -0.210843
31.612726, -0.129394
31.650227, -0.048186
31.687727, 0.032650
31.725227, 0.112985
31.762728, 0.192692
31.800228, 0.271650
31.837729, 0.349741
31.875229, 0.426850
31.912729, 0.502871
31.950230, 0.577702
31.987730, 0.651250
32.025230, 0.723427
32.062729, 0.794151
32.100227, 0.863352
32.137726, 0.930961
32.175224, 0.996921
32.212723, 1.061181
32.250221, 1.123695
32.287720, 1.184425
32.325218, 1.243340
32.362717, 1.300412
32.400215, 1.355623
32.437714, 1.408954
32.475212, 1.460396
32.512711, 1.509941
